User,Latitude,Longitude
2,39.922062,116.349116
3,40.011122,116.314833
4,39.989916,116.332387
13,39.974833,116.363364
14,40.1495166,116.5351566
17,40.0096616,116.3463499
22,39.969849,116.301324
24,39.991351,116.331092
25,39.9865966,116.3018983
28,39.975123,116.325431
29,39.796858,116.517176
30,40.011292,116.314764
34,40.0287216,116.34185
35,39.98151,116.321664
36,39.947223,116.369793
37,39.9773999,116.251695
38,39.9680533,116.3018783
39,39.975005,116.363107
40,39.967771,116.311459
41,39.9008833,116.4557816
42,39.9088916,116.4533233
44,39.97493,116.333523
68,39.9753,116.418504
126,40.002717,116.331149
128,40.0773566,116.3268033
140,39.9870783,116.4097733
144,40.0429899,116.4266583
153,39.928504,116.472423
167,40.002717,116.331149
